GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wordgame,Enums,TypeOfRules,0,45,0,0,0,5,0,2,0,2
wordgame,bl.repositories,RulesRepository,3,14,0,2,1,3,1,2,1,1
wordgame,bl.repositories,PlayerProcessor,0,24,0,4,0,5,0,5,0,3
wordgame,bl.omparators,PlayerPointsComparator,0,26,0,4,0,7,0,4,0,2
wordgame,dl,Leaderboard,0,48,0,0,0,12,0,5,0,5
wordgame,dl,Player,0,86,0,0,0,21,0,11,0,11
wordgame,Exceptions,ProcessorSubmissionsException,0,4,0,0,0,2,0,1,0,1
wordgame,Exceptions,RuleImplementationException,0,4,0,0,0,2,0,1,0,1
wordgame,bl,RulesWord,0,23,0,4,0,6,0,4,0,2
wordgame,pl,WordLeaderBoard,0,25,0,0,0,6,0,2,0,2
